Domain,Details,Entity,Live?,Redirect?,HTTPS?,Force HTTPS?,HSTS?,HSTS Header
brimfieldohio.gov,City,Non-Federal Agency,true,,false,false,false,
bristolct.gov,City,Non-Federal Agency,true,,false,false,false,
brla.gov,City,Non-Federal Agency,true,,false,false,false,
broadview-il.gov,City,Non-Federal Agency,true,,false,false,false,
brokenarrowok.gov,City,Non-Federal Agency,true,,false,false,false,
brookfield-wi.gov,City,Non-Federal Agency,false,,false,false,false,
brookfieldct.gov,City,Non-Federal Agency,true,,false,false,false,
brookfieldil.gov,City,Non-Federal Agency,true,,false,false,false,
brookhavenga.gov,City,Non-Federal Agency,true,,false,false,false,
brooklinema.gov,City,Non-Federal Agency,true,,false,false,false,
brooklynohio.gov,City,Non-Federal Agency,true,,false,false,false,
brooklynwi.gov,City,Non-Federal Agency,true,,false,false,false,
brownsvilletn.gov,City,Non-Federal Agency,true,,false,false,false,
brownwoodtexas.gov,City,Non-Federal Agency,true,,false,false,false,
brycecanyoncityut.gov,City,Non-Federal Agency,true,,false,false,false,
brysoncitync.gov,City,Non-Federal Agency,true,,false,false,false,
buckeyeaz.gov,City,Non-Federal Agency,true,,false,false,false,
bucksportmaine.gov,City,Non-Federal Agency,true,,false,false,false,
buenavistaco.gov,City,Non-Federal Agency,true,,false,false,false,
bunkerhilltx.gov,City,Non-Federal Agency,true,,true,true,false,
burbankca.gov,City,Non-Federal Agency,true,,false,false,false,
burbankil.gov,City,Non-Federal Agency,true,,false,false,false,
burienwa.gov,City,Non-Federal Agency,true,,true,false,false,
burkittsville-md.gov,City,Non-Federal Agency,true,,false,false,false,
burlington-wi.gov,City,Non-Federal Agency,true,,false,false,false,
burlingtonkansas.gov,City,Non-Federal Agency,true,,false,false,false,
burlingtonnc.gov,City,Non-Federal Agency,true,,false,false,false,
burlingtonvt.gov,City,Non-Federal Agency,true,,false,false,false,
burnsharbor-in.gov,City,Non-Federal Agency,true,,false,false,false,
burnsvillemn.gov,City,Non-Federal Agency,true,burnsville.org,false,false,false,
burr-ridge.gov,City,Non-Federal Agency,true,,false,false,false,
burrillville-ri.gov,City,Non-Federal Agency,true,,false,false,false,
burtonmi.gov,City,Non-Federal Agency,true,,false,false,false,
butlerwi.gov,City,Non-Federal Agency,true,,false,false,false,
byesvilleoh.gov,City,Non-Federal Agency,true,,false,false,false,
cabotar.gov,City,Non-Federal Agency,true,,true,false,false,
cabq.gov,City,Non-Federal Agency,true,,true,false,false,
caldwelltx.gov,City,Non-Federal Agency,true,,false,false,false,
caledoniamn.gov,City,Non-Federal Agency,true,,false,false,false,
calumettwp-in.gov,City,Non-Federal Agency,true,,false,false,false,
cambridgema.gov,City,Non-Federal Agency,false,,false,false,false,
cambridgeny.gov,City,Non-Federal Agency,true,,false,false,false,
camdenmaine.gov,City,Non-Federal Agency,true,,false,false,false,
camdentn.gov,City,Non-Federal Agency,false,,false,false,false,
campbellohio.gov,City,Non-Federal Agency,true,,false,false,false,
canalwinchesterohio.gov,City,Non-Federal Agency,true,,false,false,false,
cannonfallsmn.gov,City,Non-Federal Agency,true,,false,false,false,
cantonohio.gov,City,Non-Federal Agency,true,,true,false,false,
cantontwp-oh.gov,City,Non-Federal Agency,true,,false,false,false,
cantontx.gov,City,Non-Federal Agency,true,,false,false,false,
carbondale-pa.gov,City,Non-Federal Agency,false,,false,false,false,
carlisle-ia.gov,City,Non-Federal Agency,true,,false,false,false,
carlislema.gov,City,Non-Federal Agency,true,,false,false,false,
carlsbadca.gov,City,Non-Federal Agency,true,,false,false,false,
carnationwa.gov,City,Non-Federal Agency,true,,false,false,false,
carnegieok.gov,City,Non-Federal Agency,true,,false,false,false,
carneyspointnj.gov,City,Non-Federal Agency,true,,false,false,false,
carrboronc.gov,City,Non-Federal Agency,true,,false,false,false,
carrollton-ga.gov,City,Non-Federal Agency,true,,false,false,false,
carterlake-ia.gov,City,Non-Federal Agency,false,,false,false,false,
cartersvillega.gov,City,Non-Federal Agency,false,,false,false,false,
carthagemo.gov,City,Non-Federal Agency,true,,false,false,false,
carync.gov,City,Non-Federal Agency,false,,false,false,false,
casagrandeaz.gov,City,Non-Federal Agency,true,,false,false,false,
casperwy.gov,City,Non-Federal Agency,true,,false,false,false,
castrovilletx.gov,City,Non-Federal Agency,true,,true,false,false,
cathedralcity.gov,City,Non-Federal Agency,true,,false,false,false,
ceciltonmd.gov,City,Non-Federal Agency,true,,false,false,false,
ceciltownship-pa.gov,City,Non-Federal Agency,true,,false,false,false,
cedarhurst.gov,City,Non-Federal Agency,true,,false,false,false,
cedarparktexas.gov,City,Non-Federal Agency,true,,false,false,false,
cedarrapids-ia.gov,City,Non-Federal Agency,true,,false,false,false,
cedartowngeorgia.gov,City,Non-Federal Agency,true,,false,false,false,
centennialco.gov,City,Non-Federal Agency,true,,false,false,false,
centerco.gov,City,Non-Federal Agency,true,,false,false,false,
centervilleohio.gov,City,Non-Federal Agency,true,,false,false,false,
centervilletx.gov,City,Non-Federal Agency,true,,false,false,false,
central-la.gov,City,Non-Federal Agency,true,,false,false,false,
centralpointoregon.gov,City,Non-Federal Agency,true,,false,false,false,
centreville-md.gov,City,Non-Federal Agency,false,,false,false,false,
ceresco-ne.gov,City,Non-Federal Agency,false,,false,false,false,
cgaz.gov,City,Non-Federal Agency,true,casagrandeaz.gov,false,false,false,
chaddsfordpa.gov,City,Non-Federal Agency,true,,false,false,false,
chambersburgpa.gov,City,Non-Federal Agency,true,,false,false,false,
chambleega.gov,City,Non-Federal Agency,true,,false,false,false,
charleston-sc.gov,City,Non-Federal Agency,true,,false,false,false,
charlestonwv.gov,City,Non-Federal Agency,true,cityofcharleston.org,false,false,false,
charlestown-nh.gov,City,Non-Federal Agency,true,,false,false,false,
