Domain,Base Domain,Canonical,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HSTS,HSTS Header,HSTS Max Age,HSTS All Subdomains,HSTS Preload Ready,HSTS Preloaded,Broken Root,Broken WWW
agency.ecpic.gov,ecpic.gov,https://agency.ecpic.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,True
agencyportal.dev.usajobs.gov,usajobs.gov,http://agencyportal.dev.usajobs.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
agencyportal.usajobs.gov,usajobs.gov,https://agencyportal.usajobs.gov,True,False,,False,True,False,True,True,False,False,max-age=31536000,31536000,False,False,False,False,True
agents.floodsmart.gov,floodsmart.gov,https://www.agents.floodsmart.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,False
aggie.rtpnc.epa.gov,epa.gov,http://aggie.rtpnc.epa.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
ags.cr.usgs.gov,usgs.gov,http://ags.cr.usgs.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,True
ahrf.hrsa.gov,hrsa.gov,http://ahrf.hrsa.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
ahrq.gov,ahrq.gov,http://www.ahrq.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False,False
ahrq.gov.ezproxy.nihlibrary.nih.gov,nih.gov,http://www.ahrq.gov.ezproxy.nihlibrary.nih.gov,True,False,,False,False,False,True,False,True,False,,,False,False,False,False,False
ahrq.usajobs.gov,usajobs.gov,https://ahrq.usajobs.gov,True,False,,False,True,False,True,True,False,False,max-age=31536000,31536000,False,False,False,False,False
